loading Antonis manual QC ...
loading King's QC ...
loading struct pipeline QC ...
tagging matteo's blacklisted scans ...
518 scans accepted
258 scans rejected
should fail but pass struct pipeline:
CC00063AN06-15102
CC00067XX10-20200
CC00084XX11-31201
CC00127XX12-43200
CC00146XX15-48400
CC00155XX07-51300
CC00171XX07-56300
CC00191XX11-79600
CC00221XX07-75000
CC00236XX14-78700
CC00259XX12-85100
CC00265XX10-86901
CC00269XX14-88300
CC00298XX19-94700
CC00320XX07-102300
CC00324XX11-111200
CC00326XX13-104100
CC00328XX15-104800
CC00427XX15-130100
CC00432XX12-131800
CC00443XX15-133900
CC00468XX15-139100
CC00507XX12-148202
CC00526XX15-150500
CC00530XX11-153600
CC00554XX10-160200
CC00578AN18-164900
CC00596XX20-190100
CC00605XX11-172700
CC00605XX11-187700
CC00688XX21-199500
CC00689XX22-199800
CC00792XX18-244200
CC00833XX17-20510
CC00894XX21-3020
should pass but fail struct pipeline:
subject,session,accept,antonis1,antonis2,antonis3,kingsT1,kingsT2,structT1,structT2,matteo
CC00358XX12,114400,false,3,3,3,false,true,,,true,
CC00361XX07,111700,true,,,4,true,true,true,true,true,
CC00361XX07,120500,true,,,4,true,true,true,true,true,
CC00362XX08,114500,true,4,4,4,true,true,true,true,true,
CC00363XX09,114900,true,3,3,3,true,true,true,true,true,
CC00364XX10,115200,true,,,3,true,true,true,true,true,
CC00365XX11,115800,false,1,1,1,false,true,,,true,
CC00366XX12,116300,true,,,3,true,true,true,true,true,
CC00367XX13,116000,true,4,4,4,true,true,true,true,true,
CC00368XX14,116600,true,3,3,3,true,true,true,true,true,
CC00370XX08,142400,true,,,4,true,true,true,true,true,
CC00371XX09,134700,true,,,4,true,true,true,true,true,
CC00375XX13,116900,false,3,3,3,false,true,,,true,
CC00376XX14,118400,true,,,4,true,true,true,true,true,
CC00377XX15,119800,true,,,4,true,true,true,true,true,
CC00378XX16,120200,true,,,3,true,true,true,true,true,
CC00379XX17,120400,true,4,3,3,true,true,true,true,true,
CC00380XX10,121200,false,,,3,true,true,,,true,
CC00381XX11,121600,false,2,2,2,false,true,,,true,
CC00382XX12,121700,true,2,3,3,true,true,true,true,true,
CC00383XX13,121800,true,,,4,true,true,true,true,true,
CC00384XX14,122200,true,4,4,4,false,true,true,true,true,
CC00385XX15,118500,true,,,4,true,true,true,true,true,
CC00385XX15,125700,true,4,3,3,true,true,true,true,true,
CC00388XX18,118700,false,,,4,false,true,,,true,
CC00389XX19,119100,true,,,4,true,true,true,true,true,
CC00389XX19,133800,true,,,3,true,true,true,true,true,
CC00395XX17,121300,true,,,4,true,true,true,true,true,
CC00395XX17,129500,true,,,4,true,true,true,true,true,
CC00397XX19,122700,true,,,3,true,true,true,true,true,
CC00398XX20,123100,true,,,4,true,true,true,true,true,
CC00399XX21,123400,false,3,4,4,false,true,,,true,
CC00400XX04,123700,true,,,4,true,true,true,true,true,
CC00401XX05,123900,false,3,3,3,true,true,,,true,
CC00402XX06,124300,true,4,4,4,true,true,true,true,true,
CC00403XX07,124400,true,4,3,3,true,true,true,true,true,
CC00404XX08,124500,false,,,,true,true,,,true,
CC00405XX09,124900,true,,,3,true,true,true,true,true,
CC00406XX10,122900,true,,,4,true,true,true,true,true,
CC00406XX10,129200,true,,,4,true,true,true,true,true,
CC00407AN11,124000,true,,,3,true,true,true,true,true,
CC00407AN11,137100,true,,,4,,,true,true,true,
CC00407BN11,124100,true,,,4,true,true,true,true,true,
CC00407BN11,137200,false,,,4,false,true,,,true,
CC00408XX12,125500,true,,,3,true,true,true,true,true,
CC00409XX13,125600,true,,,4,true,true,true,true,true,
CC00410XX06,125800,false,3,3,3,false,true,,,true,
CC00411XX07,126200,true,,,4,true,true,true,true,true,
CC00412XX08,126301,true,3,3,3,true,true,true,true,true,
CC00413XX09,127100,true,3,4,4,true,true,true,true,true,
CC00414XX10,127300,true,,,4,true,true,true,true,true,
CC00415XX11,127400,true,3,3,3,true,true,true,true,true,
CC00416XX12,128900,true,,,3,true,true,true,true,true,
CC00417XX13,129000,true,,,4,true,true,true,true,true,
CC00418AN14,125200,true,4,4,4,true,true,true,true,true,
CC00418AN14,130200,true,,,4,true,true,true,true,true,
CC00418BN14,125300,true,4,4,4,true,true,true,true,true,
CC00418BN14,130300,true,,,4,true,true,true,true,true,
CC00421AN09,126000,true,3,3,3,true,true,true,true,true,
CC00421BN09,126100,true,4,4,4,true,true,true,true,true,
CC00422XX10,127800,true,4,4,4,true,true,true,true,true,
CC00423XX11,127200,true,,,4,true,true,true,true,true,
CC00424XX12,129400,true,,,3,true,true,true,true,true,
CC00425XX13,129800,false,,,4,,,,,true,
CC00427XX15,130100,false,,,1,true,true,true,true,true,
CC00428XX16,130400,true,,,3,true,true,true,true,true,
CC00429XX17,130900,false,,,4,false,true,,,true,
CC00430XX10,131100,false,4,3,3,false,true,,,true,
CC00431XX11,131500,true,,,3,true,true,true,true,true,
CC00432XX12,131800,false,,,1,true,true,true,true,true,
CC00433XX13,132000,true,,,4,true,true,true,true,true,
CC00434AN14,127700,true,,,4,true,true,true,true,true,
CC00438XX18,156800,true,,,3,true,true,true,true,true,
CC00439XX19,132100,true,,,4,false,true,true,true,true,
CC00440XX12,132200,true,,,4,true,true,true,true,true,
CC00441XX13,132902,true,,,4,false,true,true,true,true,
CC00442XX14,133300,true,,,3,true,true,true,true,true,
CC00443XX15,133900,false,,,2,true,true,true,true,true,
CC00444XX16,135101,false,,,3,false,true,,,true,
CC00445XX17,134800,true,,,4,,,true,true,true,
CC00446XX18,135200,true,,,3,true,true,true,true,true,
CC00447XX19,135600,true,,,4,true,true,true,true,true,
CC00448XX20,135800,true,,,4,true,true,true,true,true,
CC00450XX05,136100,true,,,3,true,true,true,true,true,
CC00451XX06,137000,true,,,4,true,true,true,true,true,
CC00453XX08,136600,true,,,4,,,true,true,true,
CC00454XX09,137600,true,3,3,3,true,true,true,true,true,
CC00455XX10,137700,true,,,3,,,true,true,true,
CC00456XX11,138000,false,,,4,,,,,true,
CC00457XX12,138601,true,,,4,true,true,true,true,true,
CC00458XX13,138900,true,,,3,true,true,true,true,true,
CC00461XX08,175100,true,,,,true,true,true,true,true,
CC00462XX09,134100,true,,,3,true,true,true,true,true,
CC00465XX12,137900,true,,,4,true,true,true,true,true,
CC00466AN13,138400,true,,,4,,,true,true,true,
CC00466BN13,138300,true,,,4,true,true,true,true,true,
CC00467XX14,139000,false,,,4,,,,,true,
CC00468XX15,139100,false,,,2,false,true,true,true,true,
CC00469XX16,139200,true,,,3,,,true,true,true,
CC00470XX09,139600,true,,,4,true,true,true,true,true,
CC00472XX11,140000,true,,,4,true,true,true,true,true,
CC00473XX12,140100,true,,,3,,,true,true,true,
CC00474XX13,140500,true,,,4,true,true,true,true,true,
CC00475XX14,141400,false,,,3,true,true,,,true,
CC00476XX15,141500,true,,,4,,,true,true,true,
CC00477XX16,141600,false,,,3,,,,,true,
CC00478XX17,141601,true,,,4,true,true,true,true,true,
CC00479XX18,141608,true,,,3,,,true,true,true,
CC00480XX11,141609,true,4,3,3,true,true,true,true,true,
CC00481XX12,141800,true,,,3,true,true,true,true,true,
CC00482XX13,142000,true,,,4,true,true,true,true,true,
CC00483XX14,144200,true,,,4,true,true,true,true,true,
CC00484XX15,142700,true,,,3,true,true,true,true,true,
CC00485XX16,143100,false,,,3,true,true,,,true,
CC00486XX17,144300,true,,,4,,,true,true,true,
CC00489XX20,138800,true,,,4,true,true,true,true,true,
CC00489XX20,142900,true,,,4,true,true,true,true,true,
CC00492AN15,140900,true,,,4,,,true,true,true,
CC00492BN15,140800,true,,,4,true,true,true,true,true,
CC00497XX20,144500,true,,,4,true,true,true,true,true,
CC00498XX21,144900,true,,,4,true,true,true,true,true,
CC00499XX22,145800,true,,,3,true,true,true,true,true,
CC00500XX05,145900,true,,,4,,,true,true,true,
CC00501XX06,146500,true,,,4,false,true,true,true,true,
CC00502XX07,146700,true,,,3,true,true,true,true,true,
CC00503XX08,146601,false,,,,false,false,,,true,
CC00504XX09,146800,true,,,4,,,true,true,true,
