loading Antonis manual QC ...
loading King's QC ...
loading struct pipeline QC ...
tagging matteo's blacklisted scans ...
loading matteo's QC ...
820 matteo successes
loading sean's QC ...
590 sean successes
finding images in struct output with at least T2 ...
669 struct pipeline successes
920 scans
352 scans accepted
568 scans rejected
subject,session,accept,antonis1,antonis2,antonis3,antonis,has_struct,matteo,matteo_qc,sean_qc
CC00395XX17,129500,true,,,4,true,true,,true,true,
CC00397XX19,122700,true,,,3,true,true,,true,true,
CC00398XX20,123100,true,,,4,true,true,,true,true,
CC00399XX21,123400,true,3,4,4,true,true,,true,true,
CC00400XX04,123700,true,,,4,true,true,,true,true,
CC00401XX05,123900,false,3,3,3,true,,,false,,
CC00402XX06,124300,true,4,4,4,true,true,,true,true,
CC00403XX07,124400,true,4,3,3,true,true,,true,true,
CC00404XX08,124500,false,,,,,,,false,,
CC00405XX09,124900,true,,,3,true,true,,true,true,
CC00406XX10,122900,true,,,4,true,true,,true,true,
CC00406XX10,129200,true,,,4,true,true,,true,true,
CC00407AN11,124000,true,,,3,true,true,,true,true,
CC00407AN11,137100,true,,,4,true,true,,true,true,
CC00407BN11,124100,true,,,4,true,true,,true,true,
CC00407BN11,137200,false,,,4,true,true,,false,true,
CC00408XX12,125500,true,,,3,true,true,,true,true,
CC00409XX13,125600,true,,,4,true,true,,true,true,
CC00410XX06,125800,true,3,3,3,true,true,,true,true,
CC00411XX07,126200,true,,,4,true,true,,true,true,
CC00412XX08,126301,true,3,3,3,true,true,,true,true,
CC00413XX09,127100,true,3,4,4,true,true,,true,true,
CC00414XX10,127300,true,,,4,true,true,,true,true,
CC00415XX11,127400,true,3,3,3,true,true,,true,true,
CC00416XX12,128900,true,,,3,true,true,,true,true,
CC00417XX13,129000,true,,,4,true,true,,true,true,
CC00418AN14,125200,true,4,4,4,true,true,,true,true,
CC00418AN14,130200,true,,,4,true,true,,true,true,
CC00418BN14,125300,true,4,4,4,true,true,,true,true,
CC00418BN14,130300,true,,,4,true,true,,true,true,
CC00421AN09,126000,true,3,3,3,true,true,,true,true,
CC00421BN09,126100,true,4,4,4,true,true,,true,true,
CC00422XX10,127800,true,4,4,4,true,true,,true,true,
CC00423XX11,127200,true,,,4,true,true,,true,true,
CC00424XX12,129400,true,,,3,true,true,,true,true,
CC00425XX13,129800,false,,,4,true,,,false,,
CC00426XX14,129800,false,,,,,,,false,,
CC00427XX15,130100,false,,,1,false,true,,true,true,
CC00428XX16,130400,true,,,3,true,true,,true,true,
CC00429XX17,130900,true,,,4,true,true,,true,true,
CC00430XX10,131100,true,4,3,3,true,true,,true,true,
CC00431XX11,131500,true,,,3,true,true,,true,true,
CC00432XX12,131800,false,,,1,false,true,,true,true,
CC00433XX13,132000,true,,,4,true,true,,true,true,
CC00434AN14,127700,true,,,4,true,true,,true,true,
CC00438XX18,132402,false,,,,,,,false,,
CC00438XX18,156800,true,,,3,true,true,,true,true,
CC00439XX19,132100,false,,,4,true,true,,true,,
CC00440XX12,132200,true,,,4,true,true,,true,true,
CC00441XX13,132902,true,,,4,true,true,,true,true,
CC00442XX14,133300,false,,,3,true,true,,false,true,
CC00443XX15,133900,true,,,2,true,true,,true,true,
CC00444XX16,135101,true,,,3,true,true,,true,true,
CC00445XX17,134800,true,,,4,true,true,,true,true,
CC00446XX18,135200,true,,,3,true,true,,true,true,
CC00447XX19,135600,true,,,4,true,true,,true,true,
CC00448XX20,135800,true,,,4,true,true,,true,true,
CC00449XX21,135800,false,,,,,,,false,,
CC00450XX05,136100,true,,,3,true,true,,true,true,
CC00451XX06,137000,true,,,4,true,true,,true,true,
CC00453XX08,136600,true,,,4,true,true,,true,true,
CC00454XX09,137600,true,3,3,3,true,true,,true,true,
CC00455XX10,137700,true,,,3,true,true,,true,true,
CC00456XX11,138000,false,,,4,true,true,,false,true,
CC00457XX12,138601,true,,,4,true,true,,true,true,
CC00458XX13,138900,true,,,3,true,true,,true,true,
CC00461XX08,135000,false,,,,,,,false,,
CC00461XX08,148600,false,,,,,,,false,,
CC00461XX08,175100,,,,,,true,,true,true,
CC00462XX09,134100,true,,,3,true,true,,true,true,
CC00465XX12,137900,true,,,4,true,true,,true,true,
CC00466AN13,138400,true,,,4,true,true,,true,true,
CC00466BN13,138300,true,,,4,true,true,,true,true,
CC00467XX14,139000,true,,,4,true,true,,true,true,
CC00468XX15,139100,false,,,2,true,true,,false,true,
CC00469XX16,139200,true,,,3,true,true,,true,true,
CC00470XX09,139600,true,,,4,true,true,,true,true,
CC00472XX11,140000,true,,,4,true,true,,true,true,
CC00473XX12,140100,true,,,3,true,true,,true,true,
CC00474XX13,140500,true,,,4,true,true,,true,true,
CC00475XX14,141400,false,,,3,true,,,false,,
CC00476XX15,141500,true,,,4,true,true,,true,true,
CC00477XX16,141600,false,,,3,true,,,,,
CC00478XX17,141601,true,,,4,true,true,,true,true,
CC00479XX18,141608,true,,,3,true,true,,true,true,
CC00480XX11,141609,true,4,3,3,true,true,,true,true,
CC00481XX12,141800,true,,,3,true,true,,true,true,
CC00482XX13,142000,false,,,4,true,true,,false,true,
CC00483XX14,144200,true,,,4,true,true,,true,true,
CC00484XX15,142700,true,,,3,true,true,,true,true,
CC00485XX16,143100,false,,,3,true,,,false,,
CC00486XX17,144300,true,,,4,true,true,,true,true,
CC00489XX20,138800,true,,,4,true,true,,true,true,
CC00489XX20,142900,true,,,4,true,true,,true,true,
CC00492AN15,140900,true,,,4,true,true,,true,true,
CC00492BN15,140800,true,,,4,true,true,,true,true,
CC00497XX20,144500,true,,,4,true,true,,true,true,
CC00498XX21,144900,true,,,4,true,true,,true,true,
CC00499XX22,145800,true,,,3,true,true,,true,true,
CC00500XX05,145900,true,,,4,true,true,,true,true,
CC00501XX06,146500,true,,,4,true,true,,true,true,
CC00502XX07,146700,true,,,3,true,true,,true,true,
CC00503XX08,146601,false,,,,,,,false,,
CC00504XX09,146800,true,,,4,true,true,,true,true,
CC00505XX10,146900,false,,,4,true,true,,false,true,
CC00506XX11,147600,false,,,4,true,true,,false,true,
CC00507XX12,148202,true,,,2,true,true,,true,true,
CC00508XX13,148700,true,,,3,true,true,,true,true,
CC00509XX14,148800,true,,,3,true,true,,true,true,
CC00511XX08,149000,true,,,3,true,true,,true,true,
CC00512XX09,150700,true,,,3,true,true,,true,true,
CC00513XX10,150000,true,,,4,true,true,,true,true,
