loading Antonis manual QC ...
loading struct pipeline QC ...
checking for t2 ...
tagging blacklisted scans ...
759 scans
647 scans accepted
112 scans rejected
meaning of columns:
   accept       -- all non-nil test columns are TRUE
   tsv          -- TRUE if we have redcap data for this scan
   antonis1     -- serena's scores from 2016
   antonis2     -- antonis' scores from 2016
   antonis3     -- antonis' scores from 2017
   antonis      -- TRUE if median antonis[1-3] >= 2
   blacklist    -- FALSE if subject has been blacklisted
   has_T2       -- TRUE if there's a T2 scan in struct output
   struct_qc_T1 -- TRUE if struct auto QC has T1 output
   struct_qc_T2 -- TRUE if struct auto QC has T2 output
subject,session,accept,tsv,antonis1,antonis2,antonis3,antonis,blacklist,has_T2,struct_qc_T1,struct_qc_T2
CC00461XX08,135000,false,true,,,,,,false,,,
CC00461XX08,148600,false,true,,,,,,false,,,
CC00461XX08,175100,true,true,,,,,,true,true,true,
CC00462XX09,134100,true,true,,,3,true,,true,true,true,
CC00465XX12,137900,true,true,,,4,true,,true,true,true,
CC00466AN13,138400,true,true,,,4,true,,true,true,true,
CC00466BN13,138300,true,true,,,4,true,,true,true,true,
CC00467XX14,139000,true,true,,,4,true,,true,,,
CC00468XX15,139100,true,true,,,2,true,,true,true,true,
CC00469XX16,139200,true,true,,,3,true,,true,true,true,
CC00470XX09,139600,true,true,,,4,true,,true,true,true,
CC00472XX11,140000,true,true,,,4,true,,true,true,true,
CC00473XX12,140100,true,true,,,3,true,,true,true,true,
CC00474XX13,140500,true,true,,,4,true,,true,true,true,
CC00475XX14,141400,false,false,,,3,true,,,,,
CC00476XX15,141500,true,true,,,4,true,,true,true,true,
CC00477XX16,141600,false,false,,,3,true,,,,,
CC00478XX17,141601,true,true,,,4,true,,true,true,true,
CC00479XX18,141608,true,true,,,3,true,,true,true,true,
CC00480XX11,141609,true,true,4,3,3,true,,true,true,true,
CC00481XX12,141800,true,true,,,3,true,,true,true,true,
CC00482XX13,142000,true,true,,,4,true,,true,true,true,
CC00483XX14,144200,true,true,,,4,true,,true,true,true,
CC00484XX15,142700,true,true,,,3,true,,true,true,true,
CC00485XX16,143100,false,false,,,3,true,,,,,
CC00486XX17,144300,true,true,,,4,true,,true,true,true,
CC00489XX20,138800,true,true,,,4,true,,true,true,true,
CC00489XX20,142900,true,true,,,4,true,,true,true,true,
CC00492AN15,140900,true,true,,,4,true,,true,true,true,
CC00492BN15,140800,true,true,,,4,true,,true,true,true,
CC00497XX20,144500,true,true,,,4,true,,true,true,true,
CC00498XX21,144900,true,true,,,4,true,,true,true,true,
CC00499XX22,145800,true,true,,,3,true,,true,true,true,
CC00500XX05,145900,true,true,,,4,true,,true,true,true,
